CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,InternetService,PaymentMethod,Churn,TotalCharges
CUST_000031,Male,62,26,One Year,89.9,Fiber Optic,Bank Transfer,No,2452.59
CUST_000032,Male,55,1,Two Year,29.01,Fiber Optic,Electronic Check,Yes,29.39
CUST_000033,Female,50,62,Month-to-Month,108.83,Fiber Optic,Bank Transfer,Yes,6574.84
CUST_000034,Female,61,2,Month-to-Month,110.95,Fiber Optic,Bank Transfer,Yes,213.08
CUST_000035,Female,44,2,Month-to-Month,30.5,DSL,Bank Transfer,No,58.2
CUST_000036,Male,31,9,Month-to-Month,119.07,Fiber Optic,Bank Transfer,Yes,1027.78
CUST_000037,Female,42,11,One Year,49.75,Fiber Optic,Mailed Check,No,557.1
CUST_000038,Male,33,5,Two Year,28.41,Fiber Optic,Bank Transfer,No,147.09
CUST_000039,Male,34,21,Month-to-Month,20.51,Fiber Optic,Mailed Check,Yes,415.93
CUST_000040,Male,42,14,Month-to-Month,60.85,Fiber Optic,Bank Transfer,No,843.56
CUST_000041,Male,33,1,One Year,82.98,Fiber Optic,Credit Card,No,81.77
CUST_000042,Male,40,9,Month-to-Month,53.22,No,Credit Card,Yes,485.9
CUST_000043,Female,18,39,Month-to-Month,103.67,DSL,Credit Card,Yes,3914.83
CUST_000044,Female,48,28,Two Year,91.66,No,Electronic Check,No,2682.82
CUST_000045,Female,45,30,One Year,55.02,DSL,Credit Card,No,1688.33
CUST_000046,Female,32,28,Month-to-Month,93.43,DSL,Electronic Check,No,2735.09
CUST_000047,Female,54,8,Month-to-Month,114.05,Fiber Optic,Credit Card,Yes,892.09
CUST_000048,Male,59,2,One Year,29.31,Fiber Optic,Electronic Check,Yes,59.13
CUST_000049,Female,20,7,One Year,50.61,No,Mailed Check,No,362.5
CUST_000050,Female,33,42,Two Year,66.33,Fiber Optic,Bank Transfer,No,2844.63
CUST_000051,Male,33,94,Month-to-Month,69.8,Fiber Optic,Bank Transfer,Yes,6247.15
CUST_000052,Female,30,16,Two Year,74.22,DSL,Mailed Check,No,1246.69
CUST_000053,Male,57,1,One Year,50.06,DSL,Bank Transfer,No,52.2
CUST_000054,Female,42,3,One Year,86.73,Fiber Optic,Bank Transfer,No,250.3
CUST_000055,Male,41,9,One Year,84.51,Fiber Optic,Electronic Check,Yes,763.9
CUST_000056,Female,18,20,Month-to-Month,77.78,Fiber Optic,Bank Transfer,No,1526.75
CUST_000057,Female,54,1,Two Year,31.38,Fiber Optic,Electronic Check,No,32.57
CUST_000058,Male,26,68,Month-to-Month,67.7,No,Bank Transfer,No,4694.53
CUST_000059,Male,45,10,Month-to-Month,55.62,Fiber Optic,Electronic Check,No,540.82
CUST_000060,Male,49,58,Two Year,69.1,No,Bank Transfer,No,3820.98
CUST_000061,Male,65,36,One Year,112.19,DSL,Mailed Check,No,3954.73
CUST_000062,Male,25,33,Two Year,68.05,DSL,Electronic Check,No,2141.93
CUST_000063,Male,18,22,Month-to-Month,21.4,DSL,Bank Transfer,No,453.91
CUST_000064,Male,47,23,Month-to-Month,63.88,DSL,Bank Transfer,No,1489.24
CUST_000065,Male,72,24,Two Year,102.06,Fiber Optic,Credit Card,No,2509.47
CUST_000066,Female,63,23,Month-to-Month,98.01,Fiber Optic,Credit Card,No,2247.02
CUST_000067,Female,48,19,Two Year,71.34,Fiber Optic,Bank Transfer,No,1369.05
CUST_000068,Male,37,103,Month-to-Month,44.98,Fiber Optic,Mailed Check,Yes,4473.51
CUST_000069,Female,57,31,Two Year,66.51,No,Mailed Check,No,2024.04
CUST_000070,Female,30,36,Month-to-Month,76.37,No,Electronic Check,Yes,2807.85
CUST_000071,Female,52,49,One Year,119.99,DSL,Mailed Check,No,5800.07
CUST_000072,Female,52,5,Two Year,84.42,DSL,Credit Card,No,415.72
CUST_000073,Male,60,2,Month-to-Month,89.43,DSL,Mailed Check,Yes,173.39
CUST_000074,Female,75,15,One Year,69.15,DSL,Mailed Check,No,1047.09
CUST_000075,Male,50,17,Two Year,55.45,Fiber Optic,Electronic Check,No,971.83
CUST_000076,Female,37,42,One Year,101.3,Fiber Optic,Electronic Check,No,4241.6
CUST_000077,Female,44,14,Two Year,69.49,DSL,Electronic Check,No,935.46
CUST_000078,Female,18,20,Month-to-Month,119.47,Fiber Optic,Bank Transfer,Yes,2470.25
CUST_000079,Male,34,17,Month-to-Month,65.71,Fiber Optic,Mailed Check,Yes,1069.19
CUST_000080,Female,38,1,Month-to-Month,26.8,DSL,Bank Transfer,Yes,26.72
CUST_000081,Male,37,22,Month-to-Month,88.26,Fiber Optic,Bank Transfer,No,1895.33
CUST_000082,Female,47,42,Month-to-Month,24.66,No,Credit Card,No,1080.91
CUST_000083,Male,32,4,One Year,45.05,Fiber Optic,Credit Card,No,184.48
CUST_000084,Female,61,21,Month-to-Month,55.37,DSL,Credit Card,No,1170.49
CUST_000085,Male,45,21,Month-to-Month,93.95,DSL,Mailed Check,No,2006.05
CUST_000086,Male,44,4,Month-to-Month,69.42,DSL,Mailed Check,Yes,278.59
CUST_000087,Female,40,3,Two Year,22.86,DSL,Credit Card,Yes,66.16
CUST_000088,Male,47,93,One Year,81.68,No,Electronic Check,Yes,7755.08
CUST_000089,Female,57,12,Month-to-Month,61.14,DSL,Electronic Check,No,733.14
CUST_000090,Female,31,6,Two Year,112.18,DSL,Mailed Check,No,682.12
CUST_000091,Female,35,4,Month-to-Month,69.96,DSL,Bank Transfer,Yes,267.11
CUST_000092,Female,40,26,Two Year,90.9,Fiber Optic,Electronic Check,No,2278.8
CUST_000093,Female,24,22,One Year,41.89,DSL,Bank Transfer,No,929.82
CUST_000094,Female,32,24,Month-to-Month,96.1,DSL,Bank Transfer,No,2297.04
CUST_000095,Female,37,2,One Year,92.1,Fiber Optic,Mailed Check,No,179.17
CUST_000096,Female,58,53,One Year,110.41,Fiber Optic,Mailed Check,No,5700.03
CUST_000097,Female,48,11,Month-to-Month,23.38,DSL,Bank Transfer,Yes,260.57
CUST_000098,Female,47,9,Two Year,64.75,DSL,Electronic Check,No,557.05
CUST_000099,Female,57,14,Month-to-Month,87.92,Fiber Optic,Electronic Check,No,1222.79
CUST_000100,Male,42,11,Month-to-Month,29.52,No,Electronic Check,Yes,325.47
CUST_000101,Male,50,47,Month-to-Month,61.06,DSL,Bank Transfer,Yes,2814.76
CUST_000102,Female,43,63,Month-to-Month,114.21,DSL,Bank Transfer,No,7425.87
CUST_000103,Female,48,8,Month-to-Month,63.59,DSL,Mailed Check,No,486.17
CUST_000104,Female,36,47,Two Year,118.54,Fiber Optic,Bank Transfer,No,5775.17
CUST_000105,Female,18,36,Month-to-Month,25.68,Fiber Optic,Bank Transfer,Yes,945.12
CUST_000106,Female,42,64,Month-to-Month,91.78,Fiber Optic,Electronic Check,No,5842.35
CUST_000107,Female,66,6,Month-to-Month,78.1,Fiber Optic,Electronic Check,Yes,488.49
CUST_000108,Female,58,20,Two Year,70.05,No,Credit Card,No,1429.33
CUST_000109,Female,59,7,Two Year,117.08,No,Bank Transfer,No,854.89
CUST_000110,Male,63,41,One Year,32.97,Fiber Optic,Bank Transfer,No,1348.06
CUST_000111,Female,46,1,Two Year,109.6,Fiber Optic,Mailed Check,No,109.08
CUST_000112,Male,47,19,One Year,89.12,DSL,Credit Card,No,1698.49
CUST_000113,Female,35,9,Two Year,45.9,Fiber Optic,Bank Transfer,No,395.15
CUST_000114,Female,40,9,One Year,110.17,Fiber Optic,Electronic Check,No,1032.03
CUST_000115,Male,54,24,Month-to-Month,62.93,Fiber Optic,Credit Card,No,1535.65
CUST_000116,Female,63,45,Month-to-Month,101.42,DSL,Electronic Check,No,4617.56
CUST_000117,Male,42,22,One Year,58.88,Fiber Optic,Electronic Check,No,1350.6
CUST_000118,Female,38,46,Month-to-Month,105.09,Fiber Optic,Electronic Check,No,5072.77
CUST_000119,Female,45,7,Month-to-Month,83.66,Fiber Optic,Bank Transfer,No,565.91
CUST_000120,Male,54,17,One Year,34.1,DSL,Bank Transfer,No,594.13
CUST_000121,Female,23,14,Two Year,84.97,Fiber Optic,Bank Transfer,No,1199.09
CUST_000122,Male,18,1,Month-to-Month,39.13,DSL,Credit Card,Yes,38.98
CUST_000123,Female,36,19,One Year,61.19,No,Electronic Check,No,1218.14
CUST_000124,Male,26,25,One Year,37.03,Fiber Optic,Bank Transfer,No,958.18
CUST_000125,Male,37,21,Two Year,22.2,DSL,Bank Transfer,No,475.37
CUST_000126,Female,42,31,Two Year,41.19,DSL,Credit Card,No,1261.91
CUST_000127,Female,38,20,One Year,73.64,Fiber Optic,Electronic Check,Yes,1497.25
CUST_000128,Male,66,1,Month-to-Month,68.16,DSL,Credit Card,No,68.38
CUST_000129,Female,49,2,Month-to-Month,70.15,No,Electronic Check,Yes,136.78
CUST_000130,Female,49,21,Month-to-Month,44.77,Fiber Optic,Credit Card,No,935.51
CUST_000131,Female,54,7,One Year,88.52,DSL,Bank Transfer,No,601.81
CUST_000132,Male,27,1,Two Year,90.43,Fiber Optic,Credit Card,No,90.43
CUST_000133,Male,60,13,One Year,55.8,DSL,Electronic Check,No,741.38
CUST_000134,Male,43,19,Month-to-Month,108.12,No,Electronic Check,Yes,1959.09
CUST_000135,Male,55,9,One Year,84.4,DSL,Electronic Check,No,779.76
CUST_000136,Male,28,30,Month-to-Month,91.3,No,Bank Transfer,No,2607.53
CUST_000137,Male,21,24,Month-to-Month,47.73,Fiber Optic,Bank Transfer,No,1147.5
CUST_000138,Male,57,9,Month-to-Month,20.06,No,Credit Card,No,181.87
CUST_000139,Male,50,33,Month-to-Month,106.54,DSL,Mailed Check,No,3607.67
CUST_000140,Male,31,25,Two Year,102.24,DSL,Electronic Check,No,2622.72
CUST_000141,Female,31,24,Month-to-Month,32.32,Fiber Optic,Electronic Check,Yes,769.28
CUST_000142,Male,61,19,Month-to-Month,57.41,Fiber Optic,Electronic Check,Yes,1043.49
CUST_000143,Female,27,1,Two Year,86.13,DSL,Credit Card,No,87.8
CUST_000144,Female,69,28,Month-to-Month,85.21,Fiber Optic,Credit Card,No,2388.5
CUST_000145,Female,31,11,Month-to-Month,106.04,DSL,Credit Card,Yes,1146.97
CUST_000146,Male,54,68,Month-to-Month,34.03,Fiber Optic,Mailed Check,Yes,2252.69
CUST_000147,Male,40,40,Month-to-Month,62.99,DSL,Electronic Check,No,2423.79
CUST_000148,Male,54,21,Month-to-Month,29.72,DSL,Electronic Check,Yes,611.33
CUST_000149,Male,36,6,Month-to-Month,58.96,DSL,Bank Transfer,Yes,352.29
CUST_000150,Female,42,5,One Year,21.51,Fiber Optic,Credit Card,No,107.31
CUST_000151,Male,45,9,Month-to-Month,109.83,DSL,Electronic Check,No,996.65
CUST_000152,Male,29,15,Month-to-Month,72.7,No,Electronic Check,Yes,1075.5
CUST_000153,Male,56,8,Two Year,104.98,DSL,Bank Transfer,No,875.1
CUST_000154,Male,37,17,Month-to-Month,25.99,No,Bank Transfer,Yes,441.65
CUST_000155,Male,41,4,Two Year,42.75,Fiber Optic,Electronic Check,No,169.7
CUST_000156,Female,30,91,Month-to-Month,45.94,Fiber Optic,Credit Card,No,3991.65
CUST_000157,Male,18,2,Month-to-Month,58.67,DSL,Electronic Check,Yes,118.5
CUST_000158,Female,42,64,One Year,100.29,Fiber Optic,Credit Card,No,6484.59
CUST_000159,Male,75,58,Month-to-Month,58.66,Fiber Optic,Electronic Check,Yes,3430.62
CUST_000160,Female,56,17,Month-to-Month,40.47,Fiber Optic,Electronic Check,Yes,714.66
CUST_000161,Male,44,30,One Year,26.5,DSL,Electronic Check,No,815.9
CUST_000162,Male,41,13,Month-to-Month,27.95,No,Electronic Check,Yes,376.7
CUST_000163,Female,45,23,One Year,96.0,No,Bank Transfer,Yes,2110.72
CUST_000164,Female,53,9,Two Year,64.48,Fiber Optic,Bank Transfer,No,569.77
CUST_000165,Female,27,8,Month-to-Month,92.62,Fiber Optic,Mailed Check,Yes,727.53
CUST_000166,Male,61,20,One Year,88.23,Fiber Optic,Bank Transfer,No,1792.31
CUST_000167,Female,55,16,Month-to-Month,33.54,DSL,Mailed Check,No,533.88
CUST_000168,Male,55,20,Two Year,34.29,DSL,Electronic Check,No,704.83
CUST_000169,Male,51,8,Two Year,95.53,Fiber Optic,Credit Card,No,755.41
CUST_000170,Female,45,10,Two Year,92.13,No,Credit Card,No,895.65
CUST_000171,Female,55,2,Month-to-Month,57.8,DSL,Electronic Check,Yes,113.18
CUST_000172,Male,53,1,One Year,27.74,Fiber Optic,Mailed Check,No,26.86
CUST_000173,Male,39,7,Month-to-Month,21.21,No,Bank Transfer,Yes,143.98
CUST_000174,Female,36,1,Month-to-Month,48.82,DSL,Electronic Check,Yes,47.44
CUST_000175,Female,46,2,Two Year,20.92,DSL,Bank Transfer,No,39.82
CUST_000176,Female,68,40,Month-to-Month,43.01,Fiber Optic,Bank Transfer,No,1757.58
CUST_000177,Male,26,1,Two Year,61.95,DSL,Electronic Check,No,61.33
CUST_000178,Male,22,25,Month-to-Month,32.14,DSL,Electronic Check,No,765.15
CUST_000179,Male,47,7,Two Year,30.43,Fiber Optic,Credit Card,No,210.24
CUST_000180,Male,45,49,Month-to-Month,109.64,Fiber Optic,Electronic Check,No,5590.14
CUST_000181,Male,47,15,Month-to-Month,78.55,No,Electronic Check,No,1179.57
CUST_000182,Male,48,8,Month-to-Month,113.45,Fiber Optic,Bank Transfer,No,951.78
CUST_000183,Female,41,17,One Year,54.58,Fiber Optic,Bank Transfer,Yes,931.57
CUST_000184,Male,67,11,Month-to-Month,87.71,Fiber Optic,Electronic Check,No,1009.46
CUST_000185,Male,20,19,One Year,40.47,No,Credit Card,No,746.0
CUST_000186,Male,32,2,Month-to-Month,81.83,DSL,Bank Transfer,Yes,160.22
CUST_000187,Female,43,120,Month-to-Month,32.96,DSL,Electronic Check,No,4034.29
CUST_000188,Male,20,13,Month-to-Month,20.21,No,Mailed Check,Yes,275.52
CUST_000189,Male,42,10,Month-to-Month,113.15,No,Bank Transfer,Yes,1168.31
CUST_000190,Female,69,29,Two Year,75.49,DSL,Electronic Check,No,2200.97
CUST_000191,Male,45,10,Two Year,112.69,DSL,Mailed Check,No,1080.15
CUST_000192,Male,48,42,Month-to-Month,53.38,Fiber Optic,Bank Transfer,No,2211.55
CUST_000193,Male,26,14,One Year,52.78,DSL,Bank Transfer,No,708.36
CUST_000194,Male,35,30,One Year,60.07,Fiber Optic,Bank Transfer,No,1768.09
CUST_000195,Male,39,2,Month-to-Month,90.6,DSL,Bank Transfer,No,176.83
CUST_000196,Female,40,44,Month-to-Month,76.58,DSL,Electronic Check,Yes,3331.97
CUST_000197,Female,64,31,Month-to-Month,112.54,Fiber Optic,Mailed Check,No,3606.41
CUST_000198,Female,53,5,Month-to-Month,22.54,No,Bank Transfer,No,108.76
CUST_000199,Male,28,3,Month-to-Month,90.82,Fiber Optic,Credit Card,Yes,267.18
CUST_000200,Male,48,9,Month-to-Month,53.03,Fiber Optic,Bank Transfer,No,465.87
CUST_000201,Male,52,89,One Year,38.02,No,Mailed Check,No,3314.8
CUST_000202,Female,62,7,Month-to-Month,71.04,Fiber Optic,Credit Card,No,490.35
CUST_000203,Male,68,14,Month-to-Month,70.51,Fiber Optic,Electronic Check,No,961.9
CUST_000204,Male,29,1,Month-to-Month,33.7,Fiber Optic,Electronic Check,Yes,35.19
CUST_000205,Female,32,12,Month-to-Month,40.19,DSL,Electronic Check,Yes,478.43
CUST_000206,Male,26,20,Month-to-Month,60.82,Fiber Optic,Electronic Check,Yes,1169.46
CUST_000207,Female,41,73,Two Year,60.88,Fiber Optic,Bank Transfer,No,4429.87
CUST_000208,Female,51,17,Month-to-Month,51.76,DSL,Electronic Check,No,852.15
CUST_000209,Female,59,41,One Year,34.85,DSL,Electronic Check,No,1388.29
CUST_000210,Male,43,19,Month-to-Month,20.44,DSL,Electronic Check,Yes,380.01
CUST_000211,Male,40,1,One Year,117.02,Fiber Optic,Bank Transfer,No,112.63
CUST_000212,Male,47,9,One Year,114.35,DSL,Credit Card,No,1051.91
CUST_000213,Male,32,20,Month-to-Month,68.37,DSL,Credit Card,Yes,1407.32
CUST_000214,Male,75,72,Two Year,119.51,No,Electronic Check,No,8513.76
CUST_000215,Male,20,47,Month-to-Month,87.37,Fiber Optic,Bank Transfer,No,4184.0
CUST_000216,Male,47,6,Two Year,26.89,DSL,Electronic Check,No,159.55
CUST_000217,Female,75,5,Month-to-Month,31.77,Fiber Optic,Electronic Check,Yes,153.51
CUST_000218,Male,45,5,Two Year,111.61,DSL,Credit Card,No,552.31
CUST_000219,Female,42,61,One Year,83.01,Fiber Optic,Mailed Check,No,5092.47
CUST_000220,Male,39,45,Two Year,104.32,Fiber Optic,Electronic Check,No,4478.92
CUST_000221,Male,42,35,Month-to-Month,109.83,Fiber Optic,Mailed Check,Yes,3903.43
CUST_000222,Male,65,11,Month-to-Month,64.79,Fiber Optic,Electronic Check,No,729.98
CUST_000223,Female,18,16,One Year,24.85,DSL,Mailed Check,No,411.91
CUST_000224,Female,68,14,Two Year,38.83,Fiber Optic,Mailed Check,No,522.03
CUST_000225,Female,23,7,Two Year,26.66,DSL,Electronic Check,No,177.29
CUST_000226,Female,41,16,Month-to-Month,38.87,DSL,Credit Card,No,595.38
CUST_000227,Male,38,1,One Year,61.05,No,Bank Transfer,No,63.64
CUST_000228,Female,53,3,Month-to-Month,31.82,Fiber Optic,Credit Card,Yes,97.99
CUST_000229,Male,21,52,Month-to-Month,36.67,No,Credit Card,No,1970.8
CUST_000230,Male,51,33,Month-to-Month,64.58,DSL,Bank Transfer,Yes,2134.77
CUST_000231,Female,75,13,Month-to-Month,54.02,Fiber Optic,Mailed Check,Yes,704.14
CUST_000232,Female,24,17,Two Year,66.77,DSL,Electronic Check,No,1112.22
CUST_000233,Female,47,11,Month-to-Month,62.92,Fiber Optic,Bank Transfer,No,715.84
CUST_000234,Female,35,32,One Year,84.45,DSL,Mailed Check,Yes,2791.52
CUST_000235,Female,51,36,One Year,113.72,DSL,Electronic Check,No,4049.78
CUST_000236,Female,45,34,Month-to-Month,30.79,DSL,Mailed Check,No,1028.99
CUST_000237,Female,35,30,Month-to-Month,29.93,Fiber Optic,Bank Transfer,Yes,919.3
CUST_000238,Female,52,5,One Year,105.28,DSL,Credit Card,No,501.46
CUST_000239,Male,72,9,Month-to-Month,70.64,No,Mailed Check,Yes,658.64
CUST_000240,Female,42,15,Two Year,96.64,DSL,Bank Transfer,No,1441.81
CUST_000241,Female,55,9,Two Year,41.54,DSL,Credit Card,No,371.67
CUST_000242,Male,25,33,Month-to-Month,102.89,Fiber Optic,Electronic Check,Yes,3452.78
CUST_000243,Female,30,9,Month-to-Month,112.38,No,Electronic Check,No,1026.16
CUST_000244,Male,52,3,Month-to-Month,83.55,DSL,Electronic Check,Yes,244.78
CUST_000245,Male,67,12,One Year,30.59,DSL,Credit Card,No,383.35
CUST_000246,Female,50,93,Month-to-Month,109.53,Fiber Optic,Electronic Check,Yes,10681.68
CUST_000247,Male,40,6,Month-to-Month,99.25,DSL,Electronic Check,No,597.05
CUST_000248,Male,44,22,Month-to-Month,95.09,Fiber Optic,Mailed Check,No,2104.82
CUST_000249,Male,26,13,Two Year,23.67,DSL,Credit Card,No,309.38
CUST_000250,Male,54,1,Month-to-Month,99.9,Fiber Optic,Credit Card,Yes,99.76
CUST_000251,Female,58,16,Month-to-Month,33.8,DSL,Mailed Check,No,564.88
CUST_000252,Male,38,29,Two Year,42.24,Fiber Optic,Credit Card,No,1193.69
CUST_000253,Female,37,17,One Year,77.71,Fiber Optic,Electronic Check,No,1269.28
CUST_000254,Male,48,49,One Year,46.5,Fiber Optic,Electronic Check,No,2376.37
CUST_000255,Male,38,8,One Year,86.13,Fiber Optic,Credit Card,No,669.27
CUST_000256,Male,44,2,Two Year,80.81,No,Bank Transfer,Yes,165.65
CUST_000257,Male,75,66,One Year,30.81,DSL,Electronic Check,No,1973.24
CUST_000258,Female,41,11,Two Year,85.6,DSL,Mailed Check,No,984.93
CUST_000259,Female,39,20,One Year,112.4,Fiber Optic,Credit Card,No,2313.44
CUST_000260,Male,35,37,One Year,36.11,Fiber Optic,Credit Card,No,1392.01
CUST_000261,Male,56,9,Month-to-Month,79.71,DSL,Credit Card,No,749.74
CUST_000262,Female,42,30,Month-to-Month,54.19,Fiber Optic,Bank Transfer,Yes,1558.14
CUST_000263,Male,35,3,One Year,65.96,Fiber Optic,Credit Card,No,196.56
CUST_000264,Male,64,8,Month-to-Month,48.7,Fiber Optic,Bank Transfer,No,395.37
CUST_000265,Male,66,3,One Year,55.41,No,Bank Transfer,No,171.26
CUST_000266,Female,35,40,Month-to-Month,22.89,Fiber Optic,Credit Card,Yes,891.93
CUST_000267,Female,18,6,Two Year,118.16,DSL,Mailed Check,No,738.35
CUST_000268,Female,60,30,Month-to-Month,82.48,Fiber Optic,Electronic Check,No,2405.36
CUST_000269,Male,34,68,Two Year,70.07,Fiber Optic,Mailed Check,No,4939.23
CUST_000270,Male,56,18,One Year,58.37,DSL,Bank Transfer,No,1052.0
CUST_000271,Female,18,18,Month-to-Month,73.94,Fiber Optic,Electronic Check,No,1332.97
CUST_000272,Female,58,14,Month-to-Month,58.01,No,Electronic Check,Yes,801.91
CUST_000273,Female,26,9,Month-to-Month,55.99,DSL,Electronic Check,No,483.93
CUST_000274,Female,55,15,Month-to-Month,66.39,DSL,Electronic Check,Yes,980.62
CUST_000275,Male,45,22,Month-to-Month,47.6,DSL,Bank Transfer,Yes,1039.53
CUST_000276,Female,30,102,Month-to-Month,38.0,Fiber Optic,Electronic Check,Yes,3867.87
CUST_000277,Male,38,66,Two Year,75.66,No,Electronic Check,No,5112.95
CUST_000278,Female,55,47,Month-to-Month,104.28,Fiber Optic,Bank Transfer,Yes,4828.66
CUST_000279,Male,46,52,One Year,35.28,DSL,Credit Card,No,1817.42
CUST_000280,Female,53,15,Month-to-Month,23.27,Fiber Optic,Electronic Check,Yes,363.22
CUST_000281,Female,74,25,One Year,44.68,Fiber Optic,Electronic Check,Yes,1145.21
CUST_000282,Female,21,54,Month-to-Month,117.97,Fiber Optic,Credit Card,No,6066.42
CUST_000283,Female,69,11,One Year,102.88,DSL,Mailed Check,No,1167.0
CUST_000284,Male,46,78,One Year,79.59,Fiber Optic,Credit Card,Yes,6512.18
CUST_000285,Female,31,12,One Year,112.92,Fiber Optic,Electronic Check,Yes,1414.63
CUST_000286,Male,25,22,Month-to-Month,64.53,DSL,Electronic Check,No,1467.35
CUST_000287,Male,42,29,One Year,118.33,Fiber Optic,Electronic Check,No,3475.9
CUST_000288,Male,58,72,Month-to-Month,49.63,No,Electronic Check,No,3494.1
CUST_000289,Male,43,6,Month-to-Month,44.03,DSL,Credit Card,Yes,268.26
CUST_000290,Female,67,32,Month-to-Month,83.8,No,Credit Card,No,2734.05
CUST_000291,Male,23,17,Month-to-Month,57.82,DSL,Credit Card,No,961.47
CUST_000292,Male,44,7,Month-to-Month,82.64,Fiber Optic,Credit Card,No,564.33
CUST_000293,Male,26,35,One Year,50.5,DSL,Credit Card,No,1749.28
CUST_000294,Female,50,19,Month-to-Month,81.79,DSL,Bank Transfer,Yes,1575.94
CUST_000295,Female,58,25,Month-to-Month,47.57,Fiber Optic,Credit Card,No,1164.64
CUST_000296,Female,38,9,Month-to-Month,25.1,Fiber Optic,Electronic Check,Yes,227.16
CUST_000297,Female,18,15,One Year,111.21,Fiber Optic,Mailed Check,No,1734.75
CUST_000298,Male,47,23,One Year,108.32,Fiber Optic,Bank Transfer,No,2440.31
CUST_000299,Male,51,12,Month-to-Month,117.08,Fiber Optic,Credit Card,No,1470.43
CUST_000300,Female,51,5,One Year,91.65,No,Bank Transfer,No,457.03
CUST_000301,Male,63,78,Month-to-Month,88.27,Fiber Optic,Credit Card,No,6610.28
CUST_000302,Male,28,17,Month-to-Month,75.9,DSL,Mailed Check,No,1232.89
CUST_000303,Male,55,31,Month-to-Month,32.59,DSL,Bank Transfer,No,993.99
CUST_000304,Female,62,12,One Year,38.92,Fiber Optic,Credit Card,No,455.77
CUST_000305,Female,18,10,One Year,48.95,Fiber Optic,Electronic Check,No,506.32
CUST_000306,Male,49,12,Month-to-Month,109.02,DSL,Credit Card,No,1339.33
CUST_000307,Female,37,12,Month-to-Month,37.3,DSL,Bank Transfer,Yes,464.81
CUST_000308,Female,43,18,Month-to-Month,112.29,DSL,Bank Transfer,No,2039.26
CUST_000309,Female,50,18,One Year,72.28,Fiber Optic,Credit Card,Yes,1292.64
CUST_000310,Female,37,16,Two Year,91.56,DSL,Mailed Check,No,1431.35
CUST_000311,Female,34,3,Month-to-Month,31.02,DSL,Mailed Check,Yes,93.83
CUST_000312,Male,45,16,Month-to-Month,46.9,Fiber Optic,Bank Transfer,No,759.26
CUST_000313,Female,28,4,One Year,115.85,Fiber Optic,Electronic Check,No,458.44
CUST_000314,Male,28,3,Two Year,46.61,DSL,Mailed Check,No,145.93
CUST_000315,Male,55,64,Two Year,49.65,Fiber Optic,Electronic Check,Yes,3222.07
